timestamp,price,quantity,side
1775494619803,69833.68000000,0.00300000,buy
1775494619863,69833.67000000,0.01279000,sell
1775494620530,69833.68000000,0.00035000,buy
1775494620614,69833.68000000,0.00027000,buy
1775494620760,69833.67000000,0.00029000,sell
1775494620781,69833.67000000,0.00614000,sell
1775494620788,69833.67000000,0.00029000,sell
1775494620796,69833.67000000,0.00029000,sell
1775494620815,69833.67000000,0.00030000,sell
1775494620831,69833.67000000,0.00030000,sell
1775494620852,69833.67000000,0.15545000,sell
1775494620852,69833.67000000,0.00015000,sell
1775494620852,69833.67000000,0.00008000,sell
1775494620852,69833.67000000,0.00015000,sell
1775494620852,69833.67000000,0.00015000,sell
1775494620852,69833.67000000,0.00008000,sell
1775494620852,69833.67000000,0.00008000,sell
1775494620852,69833.67000000,0.00008000,sell
1775494620852,69833.67000000,0.00008000,sell
1775494620852,69833.67000000,0.00008000,sell
1775494620852,69833.67000000,0.00008000,sell
1775494620852,69833.67000000,0.00008000,sell
1775494620852,69833.67000000,0.00346000,sell
1775494620852,69833.67000000,0.00008000,sell
1775494620852,69833.67000000,0.00008000,sell
1775494620852,69833.67000000,0.00008000,sell
1775494620852,69833.67000000,0.00008000,sell
1775494620852,69833.67000000,0.00008000,sell
1775494620852,69833.67000000,0.00008000,sell
1775494620852,69833.67000000,0.00008000,sell
1775494620852,69833.66000000,0.00008000,sell
1775494620852,69833.66000000,0.00008000,sell
1775494620852,69833.66000000,0.00008000,sell
1775494620852,69833.66000000,0.00008000,sell
1775494620852,69833.66000000,0.00008000,sell
1775494620852,69833.66000000,0.00008000,sell
1775494620852,69833.62000000,0.00008000,sell
1775494620852,69833.61000000,0.00008000,sell
1775494620852,69833.61000000,0.00008000,sell
1775494620852,69832.72000000,0.00008000,sell
1775494620852,69831.52000000,0.00008000,sell
1775494620852,69831.51000000,0.00008000,sell
1775494620852,69831.50000000,0.00008000,sell
1775494620852,69831.49000000,0.00008000,sell
1775494620852,69831.48000000,0.00008000,sell
1775494620852,69831.48000000,0.00008000,sell
1775494620852,69831.48000000,0.00008000,sell
1775494620852,69831.48000000,0.00008000,sell
1775494620852,69831.48000000,0.00008000,sell
1775494620852,69831.48000000,0.00008000,sell
1775494620852,69831.48000000,0.00008000,sell
1775494620852,69830.65000000,0.00008000,sell
1775494620852,69830.65000000,0.00008000,sell
1775494620852,69830.65000000,0.00008000,sell
1775494620852,69830.65000000,0.00008000,sell
1775494620852,69830.65000000,0.00008000,sell
1775494620852,69830.65000000,0.00008000,sell
1775494620852,69830.65000000,0.00008000,sell
1775494620852,69830.65000000,0.00008000,sell
