timestamp,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,bid_price_4,bid_volume_4,bid_price_5,bid_volume_5,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,ask_price_4,ask_volume_4,ask_price_5,ask_volume_5
1775494618842,69833.67000000,1.86187000,69820.75000000,0.00000000,69819.70000000,0.05127000,69817.92000000,0.02200000,69813.33000000,0.00000000,69833.68000000,2.44440000,69833.69000000,0.00064000,69842.49000000,0.01555000,69851.09000000,0.11456000,69861.12000000,0.51528000
1775494618942,69833.67000000,1.86256000,69828.00000000,0.00040000,69826.00000000,0.00040000,69812.38000000,0.00000000,69811.11000000,0.00000000,69836.21000000,0.00008000,69911.38000000,0.00000000,,,,,,
1775494619042,69833.67000000,1.63386000,69824.08000000,0.05037000,69824.00000000,0.00040000,69819.70000000,0.00300000,69815.91000000,0.00000000,69849.85000000,0.00000000,69850.26000000,0.09922000,69851.09000000,0.00000000,69853.33000000,0.02000000,69905.61000000,0.02000000
1775494619141,69819.70000000,0.01909000,69815.82000000,0.02400000,69814.94000000,0.02400000,69809.07000000,0.00000000,69807.80000000,0.06997000,69842.49000000,0.08029000,69844.00000000,0.22752000,69855.78000000,0.02000000,69856.67000000,0.02000000,69865.26000000,0.00000000
1775494619241,69833.67000000,1.62093000,69823.27000000,0.00115000,69822.21000000,0.01428000,69812.72000000,0.00014000,69807.80000000,0.00000000,69833.68000000,2.48761000,69844.98000000,0.00008000,69845.03000000,0.00000000,69854.63000000,0.00014000,69865.97000000,0.00000000
1775494619341,69833.67000000,1.62235000,69829.41000000,0.00008000,69827.73000000,0.01431000,69822.59000000,0.00008000,69819.70000000,0.00300000,69850.41000000,0.01984000,69867.73000000,0.00000000,,,,,,
1775494619441,69833.67000000,1.62251000,69833.66000000,0.00032000,69830.54000000,0.08260000,69829.41000000,0.00000000,69827.73000000,0.01439000,69833.68000000,2.48737000,69833.69000000,0.00056000,69874.02000000,0.02000000,85796.91000000,0.00000000,,
1775494619541,69805.73000000,0.04827000,69801.06000000,0.00000000,69794.06000000,0.00000000,69792.38000000,0.00079000,69785.91000000,0.00000000,69911.03000000,0.00000000,69926.96000000,0.00248000,,,,,,
1775494619641,69808.86000000,0.58425000,69808.49000000,0.00000000,69807.22000000,0.42961000,69797.07000000,0.00200000,69790.07000000,0.00200000,69833.73000000,0.00000000,69852.69000000,0.54851000,69865.10000000,0.00143000,69934.15000000,0.94042000,,
1775494619741,69833.67000000,1.62259000,69833.66000000,0.00040000,69805.61000000,2.57823000,69754.28000000,0.00000000,69484.50000000,0.01000000,69833.68000000,2.48713000,69833.69000000,0.00032000,69849.38000000,0.09436000,69849.64000000,0.00000000,69850.26000000,0.00000000
1775494619841,69833.67000000,1.68925000,69827.73000000,0.00008000,69815.11000000,0.08738000,69813.99000000,0.00000000,69808.50000000,0.00000000,69833.68000000,2.27713000,85061.06000000,0.00000000,,,,,,
1775494619942,69833.67000000,1.67646000,69830.54000000,0.08260000,69827.73000000,0.00000000,69824.12000000,0.36751000,69819.70000000,0.00300000,69936.70000000,0.00000000,,,,,,,,
1775494620044,69833.67000000,1.61472000,69830.54000000,0.00008000,69829.72000000,0.00000000,69823.28000000,0.02048000,69822.66000000,0.00000000,69833.68000000,2.27907000,69833.94000000,0.01146000,69847.91000000,0.21475000,69849.73000000,5.72629000,69855.24000000,0.35076000
1775494620142,69833.67000000,1.69678000,69830.55000000,0.00008000,69830.54000000,0.00000000,69830.22000000,0.01432000,69830.21000000,0.08252000,69833.68000000,2.27962000,69833.69000000,0.00040000,69833.78000000,0.01683000,69833.79000000,0.00000000,69833.80000000,0.00008000
1775494620241,69833.67000000,1.61596000,69833.66000000,0.00048000,69831.50000000,5.72786000,69830.55000000,0.00000000,69830.22000000,0.00008000,69833.68000000,2.48638000,69833.69000000,0.00024000,69833.78000000,0.04264000,69833.80000000,0.00000000,69833.94000000,0.00000000
1775494620342,69833.67000000,0.96167000,69833.66000000,0.00056000,69831.51000000,0.00032000,69831.50000000,5.72786000,69831.15000000,0.00000000,69833.68000000,2.53642000,69833.69000000,0.00016000,69833.78000000,0.04264000,69834.11000000,0.08260000,69834.84000000,0.01146000
1775494620442,69833.67000000,0.95436000,69833.66000000,0.00048000,69831.52000000,0.00008000,69831.51000000,0.00024000,69831.50000000,5.72786000,69833.68000000,2.55303000,69833.78000000,0.04495000,69834.11000000,0.08260000,69834.84000000,0.00008000,69834.86000000,0.00008000
1775494620541,69833.67000000,1.40506000,69829.65000000,0.08252000,69827.35000000,0.21399000,69827.08000000,0.00008000,69826.51000000,0.00000000,69833.68000000,2.50933000,69834.11000000,0.00008000,69834.84000000,0.00000000,69835.30000000,0.05373000,69836.21000000,0.00000000
